slug,source_var,label,n_answers,non_missing_%,drop
wp22417,WP22417,Reason You Did Not Tell Someone About Violence/Harassment Experienced at Work: Procedures at Work Were Unclear,4,8.0,
wp22418,WP22418,Reason You Did Not Tell Someone About Violence/Harassment Experienced at Work: Worried People at Work Would Find Out,4,8.0,
wp22419,WP22419,Reason You Did Not Tell Someone About Violence/Harassment Experienced at Work: Fear of Punishment,4,8.0,
wp22420,WP22420,Reason You Did Not Tell Someone About Violence/Harassment Experienced at Work: Fear for Your Reputation,4,8.0,
wp22422,WP22422,Reason You Did Not Tell Someone About Violence/Harassment Experienced at Work: Lack of Trust in Police/Community Leaders/Labor Inspectors,4,7.9,
wp22400_all,WP22400_ALL,Ever Experienced Physical Violence/Harassment at Work (all countries),5,97.2,
wp22403_all,WP22403_ALL,Ever Experienced Psychological Violence/Harassment (or Psychologically Hurting) at Work,5,100.0,
wp22404_all,WP22404_ALL,How Many Times You Experienced Psychological Violence/Harassment (or Psychologically Hurting) at Work,5,16.3,
wp22405_all,WP22405_ALL,Last Time You Experienced Psychological Violence/Harassment (or Psychologically Hurting)  at Work,5,16.3,
wp22406_all,WP22406_ALL,Ever Experienced Sexual Violence/Harassment (or Unwanted Intimate Physical Contact) at Work,5,97.6,
wp22407_all,WP22407_ALL,How Many Times You Experienced Sexual Violence/Harassment (or Unwanted Intimate Physical Contact) at Work,5,4.5,
wp22408_all,WP22408_ALL,Last Time You Experienced Sexual Violence/Harassment (or Unwanted Intimate Physical Contact) at Work,5,4.5,
