section,slug,description,var_2019,label_2019,var_2021,label_2021,var_2023,label_2023,var_2025,label_2025,var_trended,label_trended
,impacted_disaster,Experienced / impacted by disaster (past 5 yrs),,,WP22245 | WP22247,Experienced a Disaster in Past Five Years | Type of Disaster Experienced in Past Five Years (Coded),WP23344 | WP22247,Experienced a Disaster in Past Five Years in This Country | Type of Disaster Experienced in Past Five Years (Coded),WP24213 | WP24180,Impacted by a Disaster in Past Five Years in (Country) | Type of Most Impactful Disaster Experienced in Past Five Years (Coded),disaster_experienced | WP23344 | WP22247 | WP22245,WP23344/WP22245 Experienced disaster in past five years (trended) | Experienced a Disaster in Past Five Years in This Country | Type of Disaster Experienced in Past Five Years (Coded) | Experienced a Disaster in Past Five Years
,govt_prepared,National government well prepared for a disaster,,,WP22241 | WP22244,Well Prepared to Deal With a Disaster: The National Government | Well Prepared to Deal With a Disaster: Local Government,,,WP24198 | WP24199,National Government Is Well Prepared to Deal With a Disaster | Local Government Is Well Prepared to Deal With a Disaster,,
,govt_power_prepared,Government in power well prepared for a disaster,,,WP22526,Well Prepared to Deal With a Disaster: The Government in Power,,,WP24386,Government Currently in Power Is Well Prepared to Deal With a Disaster,,
,able_action,Able to act on an advance disaster warning,,,,,,,WP24215,Able to Take Action Ahead of Disaster as Result of Advance Warning,,
,plan_known,Household disaster plan known by all members,,,WP22253,Plan for Future Disaster Known by All Household Members,WP23345,Plan for Future Disaster Known by All Household Members Over 10 Years Old,WP23345,Plan for Future Disaster Known by All Household Members Over 10 Years Old,disaster_plan | WP23345 | WP22253,WP23345/WP22253 Plan for future disaster known by all household members [over 10] (trended) | Plan for Future Disaster Known by All Household Members Over 10 Years Old | Plan for Future Disaster Known by All Household Members
,could_protect,Could protect self/family in a future disaster,,,WP22252,Could Protect Yourself or Family in a Future Disaster,WP22252,Could Protect Yourself or Family in a Future Disaster,WP22252,Could Protect Yourself or Family in a Future Disaster,WP22252,Could Protect Yourself or Family in a Future Disaster
,fin_res,Could cover basic needs a month or more if income lost,,,WP22228 | WP22229 | WP22230,How Long Household Could Cover Basic Needs If Income Was Lost | Household Could Cover Basic Needs If Income Was Lost: Weeks | Household Could Cover Basic Needs If Income Was Lost: Months,WP22228 | WP22229,How Long Household Could Cover Basic Needs If Income Was Lost | Household Could Cover Basic Needs If Income Was Lost: Weeks,WP22228 | WP22229 | WP22230,How Long Household Could Cover Basic Needs If Income Was Lost | Household Could Cover Basic Needs If Income Was Lost: Weeks | Household Could Cover Basic Needs If Income Was Lost: Months,WP22228 | WP22229 | WP22230,How Long Household Could Cover Basic Needs If Income Was Lost | Household Could Cover Basic Needs If Income Was Lost: Weeks | Household Could Cover Basic Needs If Income Was Lost: Months
,disc_skin,Experienced discrimination: skin colour,,,WP22259,Experienced Discrimination Due to the Color of Your Skin,WP22259,Experienced Discrimination Due to the Color of Your Skin,WP22259,Experienced Discrimination Due to the Color of Your Skin,WP22259,Experienced Discrimination Due to the Color of Your Skin
,disc_religion,Experienced discrimination: religion,,,WP22260,Experienced Discrimination Due to Your Religion,WP22260,Experienced Discrimination Due to Your Religion,WP22260,Experienced Discrimination Due to Your Religion,WP22260,Experienced Discrimination Due to Your Religion
,disc_nationality,Experienced discrimination: nationality/ethnicity,,,WP22261,Experienced Discrimination Due to Your Nationality/Ethnic Group,WP22261,Experienced Discrimination Due to Your Nationality/Ethnic Group,WP22261,Experienced Discrimination Due to Your Nationality/Ethnic Group,WP22261,Experienced Discrimination Due to Your Nationality/Ethnic Group
,disc_gender,Experienced discrimination: gender,,,WP22262,Experienced Discrimination Due to Your Gender,WP22262,Experienced Discrimination Due to Your Gender,WP22262,Experienced Discrimination Due to Your Gender,WP22262,Experienced Discrimination Due to Your Gender
,disc_disability,Experienced discrimination: disability,,,WP22263,Experienced Discrimination Due to a Disability,WP22263,Experienced Discrimination Due to a Disability,WP22263,Experienced Discrimination Due to a Disability,WP22263,Experienced Discrimination Due to a Disability
,greatest,Greatest source of risk to daily safety,L3_A,Greatest Source of Risk to Safety in Your Daily Life (Coded Response),WP22331,Greatest Source of Risk to Safety in Your Daily Life (Coded),WP22331,Greatest Source of Risk to Safety in Your Daily Life (Coded),WP22331,Greatest Source of Risk to Safety in Your Daily Life (Coded),WP22331,Greatest Source of Risk to Safety in Your Daily Life (Coded)
,warn_internet,Received warning: internet / social media,,,WP22248,Received Warning About Disaster From Internet/Social Media,WP22248,Received Warning About Disaster From Internet/Social Media,WP24181,"Received Warning About Disaster From Internet, Social Media, Websites or Apps",WP22248,Received Warning About Disaster From Internet/Social Media
,warn_govt,Received warning: local government / police,,,WP22249,Received Warning About Disaster From Local Government or Police,WP22249,Received Warning About Disaster From Local Government or Police,,,WP22249,Received Warning About Disaster From Local Government or Police
,warn_media,"Received warning: radio, TV or newspapers",,,WP22250,"Received Warning About Disaster From Radio, TV, or Newspapers",WP22250,"Received Warning About Disaster From Radio, TV, or Newspapers",WP24182,Received Warning About Disaster From Radio,WP22250,"Received Warning About Disaster From Radio, TV, or Newspapers"
,warn_community,Received warning: local community organisation,,,WP22251,Received Warning About Disaster From Local Community Organization,WP22251,Received Warning About Disaster From Local Community Organization,,,WP22251,Received Warning About Disaster From Local Community Organization
DIMENSIONS,,,,,,,,,,,,
